Gender,Date,Branch,Veterans
Male,09/30/2018 12:00:00 AM,Army,8168952
Male,09/30/2018 12:00:00 AM,Navy,3958658
Male,09/30/2018 12:00:00 AM,AirForce,3205426
Male,09/30/2018 12:00:00 AM,Marines,2007865
Male,09/30/2018 12:00:00 AM,NonDefense,168995
Male,09/30/2018 12:00:00 AM,ReserveForces,825647
Male,09/30/2019 12:00:00 AM,Army,7957245
Male,09/30/2019 12:00:00 AM,Navy,3853883
Male,09/30/2019 12:00:00 AM,AirForce,3113408
Male,09/30/2019 12:00:00 AM,Marines,1990011
Male,09/30/2019 12:00:00 AM,NonDefense,167361
Male,09/30/2019 12:00:00 AM,ReserveForces,832159
Male,09/30/2020 12:00:00 AM,Army,7755803
Male,09/30/2020 12:00:00 AM,Navy,3753322
Male,09/30/2020 12:00:00 AM,AirForce,3025004
Male,09/30/2020 12:00:00 AM,Marines,1972926
Male,09/30/2020 12:00:00 AM,NonDefense,165781
Male,09/30/2020 12:00:00 AM,ReserveForces,838538
Male,09/30/2021 12:00:00 AM,Army,7559509
Male,09/30/2021 12:00:00 AM,Navy,3654895
Male,09/30/2021 12:00:00 AM,AirForce,2938138
Male,09/30/2021 12:00:00 AM,Marines,1956196
Male,09/30/2021 12:00:00 AM,NonDefense,164164
Male,09/30/2021 12:00:00 AM,ReserveForces,844230
Male,09/30/2022 12:00:00 AM,Army,7368440
Male,09/30/2022 12:00:00 AM,Navy,3558480
Male,09/30/2022 12:00:00 AM,AirForce,2853060
Male,09/30/2022 12:00:00 AM,Marines,1940094
Male,09/30/2022 12:00:00 AM,NonDefense,162545
Male,09/30/2022 12:00:00 AM,ReserveForces,849768
Male,09/30/2023 12:00:00 AM,Army,7185789
Male,09/30/2023 12:00:00 AM,Navy,3465426
Male,09/30/2023 12:00:00 AM,AirForce,2771426
Male,09/30/2023 12:00:00 AM,Marines,1925561
Male,09/30/2023 12:00:00 AM,NonDefense,161041
Male,09/30/2023 12:00:00 AM,ReserveForces,850230
Male,09/30/2024 12:00:00 AM,Army,7006651
Male,09/30/2024 12:00:00 AM,Navy,3381888
Male,09/30/2024 12:00:00 AM,AirForce,2693596
Male,09/30/2024 12:00:00 AM,Marines,1911494
Male,09/30/2024 12:00:00 AM,NonDefense,160110
Male,09/30/2024 12:00:00 AM,ReserveForces,845527
Male,09/30/2025 12:00:00 AM,Army,6835466
Male,09/30/2025 12:00:00 AM,Navy,3301680
Male,09/30/2025 12:00:00 AM,AirForce,2619029
Male,09/30/2025 12:00:00 AM,Marines,1898752
Male,09/30/2025 12:00:00 AM,NonDefense,159286
Male,09/30/2025 12:00:00 AM,ReserveForces,834401
Male,09/30/2026 12:00:00 AM,Army,6669542
Male,09/30/2026 12:00:00 AM,Navy,3223579
Male,09/30/2026 12:00:00 AM,AirForce,2546884
Male,09/30/2026 12:00:00 AM,Marines,1886218
Male,09/30/2026 12:00:00 AM,NonDefense,158476
Male,09/30/2026 12:00:00 AM,ReserveForces,823487
Male,09/30/2027 12:00:00 AM,Army,6508212
Male,09/30/2027 12:00:00 AM,Navy,3147232
Male,09/30/2027 12:00:00 AM,AirForce,2476760
Male,09/30/2027 12:00:00 AM,Marines,1873867
Male,09/30/2027 12:00:00 AM,NonDefense,157667
Male,09/30/2027 12:00:00 AM,ReserveForces,812788
Male,09/30/2028 12:00:00 AM,Army,6351120
Male,09/30/2028 12:00:00 AM,Navy,3072474
Male,09/30/2028 12:00:00 AM,AirForce,2408574
Male,09/30/2028 12:00:00 AM,Marines,1861592
Male,09/30/2028 12:00:00 AM,NonDefense,156851
Male,09/30/2028 12:00:00 AM,ReserveForces,802290
Male,09/30/2029 12:00:00 AM,Army,6198146
Male,09/30/2029 12:00:00 AM,Navy,2999298
Male,09/30/2029 12:00:00 AM,AirForce,2342391
Male,09/30/2029 12:00:00 AM,Marines,1849370
Male,09/30/2029 12:00:00 AM,NonDefense,156032
Male,09/30/2029 12:00:00 AM,ReserveForces,791999
Male,09/30/2030 12:00:00 AM,Army,6049431
Male,09/30/2030 12:00:00 AM,Navy,2927839
Male,09/30/2030 12:00:00 AM,AirForce,2278362
Male,09/30/2030 12:00:00 AM,Marines,1837230
Male,09/30/2030 12:00:00 AM,NonDefense,155230
Male,09/30/2030 12:00:00 AM,ReserveForces,781929
Male,09/30/2031 12:00:00 AM,Army,5904426
Male,09/30/2031 12:00:00 AM,Navy,2857874
Male,09/30/2031 12:00:00 AM,AirForce,2216136
Male,09/30/2031 12:00:00 AM,Marines,1825091
Male,09/30/2031 12:00:00 AM,NonDefense,154418
Male,09/30/2031 12:00:00 AM,ReserveForces,772039
Male,09/30/2032 12:00:00 AM,Army,5763499
Male,09/30/2032 12:00:00 AM,Navy,2789685
Male,09/30/2032 12:00:00 AM,AirForce,2156030
Male,09/30/2032 12:00:00 AM,Marines,1812993
Male,09/30/2032 12:00:00 AM,NonDefense,153620
Male,09/30/2032 12:00:00 AM,ReserveForces,762328
Male,09/30/2033 12:00:00 AM,Army,5626996
Male,09/30/2033 12:00:00 AM,Navy,2723456
Male,09/30/2033 12:00:00 AM,AirForce,2098190
Male,09/30/2033 12:00:00 AM,Marines,1801007
Male,09/30/2033 12:00:00 AM,NonDefense,152849
Male,09/30/2033 12:00:00 AM,ReserveForces,752822
Male,09/30/2034 12:00:00 AM,Army,5493926
Male,09/30/2034 12:00:00 AM,Navy,2658508
Male,09/30/2034 12:00:00 AM,AirForce,2041769
Male,09/30/2034 12:00:00 AM,Marines,1788963
Male,09/30/2034 12:00:00 AM,NonDefense,152045
Male,09/30/2034 12:00:00 AM,ReserveForces,743532
Male,09/30/2035 12:00:00 AM,Army,5364684
Male,09/30/2035 12:00:00 AM,Navy,2595074
Male,09/30/2035 12:00:00 AM,AirForce,1987003
Male,09/30/2035 12:00:00 AM,Marines,1776893
Male,09/30/2035 12:00:00 AM,NonDefense,151221
Male,09/30/2035 12:00:00 AM,ReserveForces,734462
Male,09/30/2036 12:00:00 AM,Army,5239887
Male,09/30/2036 12:00:00 AM,Navy,2533429
Male,09/30/2036 12:00:00 AM,AirForce,1934211
Male,09/30/2036 12:00:00 AM,Marines,1764890
Male,09/30/2036 12:00:00 AM,NonDefense,150396
Male,09/30/2036 12:00:00 AM,ReserveForces,725643
Male,09/30/2037 12:00:00 AM,Army,5120008
Male,09/30/2037 12:00:00 AM,Navy,2473774
Male,09/30/2037 12:00:00 AM,AirForce,1883514
Male,09/30/2037 12:00:00 AM,Marines,1752983
Male,09/30/2037 12:00:00 AM,NonDefense,149577
Male,09/30/2037 12:00:00 AM,ReserveForces,717076
Male,09/30/2038 12:00:00 AM,Army,5005422
Male,09/30/2038 12:00:00 AM,Navy,2416184
Male,09/30/2038 12:00:00 AM,AirForce,1834919
Male,09/30/2038 12:00:00 AM,Marines,1741143
Male,09/30/2038 12:00:00 AM,NonDefense,148767
