Date,Age Groups,Gender,Veterans
9/30/2024  12:00:00 AMale,55-59,Female,211173.7061
9/30/2024  12:00:00 AMale,55-59,Male,1366791.591
9/30/2024  12:00:00 AMale,60-64,Female,236518.7586
9/30/2024  12:00:00 AMale,60-64,Male,1548524.096
9/30/2024  12:00:00 AMale,65-69,Female,200720.2678
9/30/2024  12:00:00 AMale,65-69,Male,1535450.22
9/30/2024  12:00:00 AMale,70-74,Female,135499.6268
9/30/2024  12:00:00 AMale,70-74,Male,1524566.268
9/30/2024  12:00:00 AMale,75-79,Female,78546.07759
9/30/2024  12:00:00 AMale,75-79,Male,2262665.013
9/30/2024  12:00:00 AMale,80-84,Female,43799.31682
9/30/2024  12:00:00 AMale,80-84,Male,1298318.41
9/30/2024  12:00:00 AMale,85+,Female,48132.64463
9/30/2024  12:00:00 AMale,85+,Male,1308850.283
9/30/2024  12:00:00 AMale,< 20,Female,2531.936407
9/30/2024  12:00:00 AMale,< 20,Male,6781.386206
9/30/2025  12:00:00 AMale,20-24,Female,50842.7588
9/30/2025  12:00:00 AMale,20-24,Male,210233.229
9/30/2025  12:00:00 AMale,25-29,Female,120068.9723
9/30/2025  12:00:00 AMale,25-29,Male,503116.0719
9/30/2025  12:00:00 AMale,30-34,Female,145405.3674
9/30/2025  12:00:00 AMale,30-34,Male,627061.0497
9/30/2025  12:00:00 AMale,35-39,Female,186176.4183
9/30/2025  12:00:00 AMale,35-39,Male,815548.188
9/30/2025  12:00:00 AMale,40-44,Female,217072.7743
9/30/2025  12:00:00 AMale,40-44,Male,937831.3112
9/30/2025  12:00:00 AMale,45-49,Female,207541.6305
9/30/2025  12:00:00 AMale,45-49,Male,910501.6584
9/30/2025  12:00:00 AMale,50-54,Female,191097.9547
9/30/2025  12:00:00 AMale,50-54,Male,1022322.589
9/30/2025  12:00:00 AMale,55-59,Female,213763.0207
9/30/2025  12:00:00 AMale,55-59,Male,1337734.888
9/30/2025  12:00:00 AMale,60-64,Female,229459.2306
9/30/2025  12:00:00 AMale,60-64,Male,1502244.178
9/30/2025  12:00:00 AMale,65-69,Female,208874.0928
9/30/2025  12:00:00 AMale,65-69,Male,1517358.221
9/30/2025  12:00:00 AMale,70-74,Female,146466.0569
9/30/2025  12:00:00 AMale,70-74,Male,1442752.864
9/30/2025  12:00:00 AMale,75-79,Female,88344.77632
9/30/2025  12:00:00 AMale,75-79,Male,2154587.503
9/30/2025  12:00:00 AMale,80-84,Female,45337.20483
9/30/2025  12:00:00 AMale,80-84,Male,1379012.382
9/30/2025  12:00:00 AMale,85+,Female,47981.0407
9/30/2025  12:00:00 AMale,85+,Male,1281542.414
9/30/2025  12:00:00 AMale,< 20,Female,2526.609744
9/30/2025  12:00:00 AMale,< 20,Male,6766.807619
9/30/2026  12:00:00 AMale,20-24,Female,50198.10062
9/30/2026  12:00:00 AMale,20-24,Male,207645.4702
9/30/2026  12:00:00 AMale,25-29,Female,119288.1215
9/30/2026  12:00:00 AMale,25-29,Male,507580.5147
9/30/2026  12:00:00 AMale,30-34,Female,143139.1916
9/30/2026  12:00:00 AMale,30-34,Male,612041.0732
9/30/2026  12:00:00 AMale,35-39,Female,182682.2682
9/30/2026  12:00:00 AMale,35-39,Male,794933.7025
9/30/2026  12:00:00 AMale,40-44,Female,210987.6928
9/30/2026  12:00:00 AMale,40-44,Male,922924.3817
9/30/2026  12:00:00 AMale,45-49,Female,215051.8998
9/30/2026  12:00:00 AMale,45-49,Male,931600.3662
9/30/2026  12:00:00 AMale,50-54,Female,188614.1102
9/30/2026  12:00:00 AMale,50-54,Male,957407.5518
9/30/2026  12:00:00 AMale,55-59,Female,212242.0588
9/30/2026  12:00:00 AMale,55-59,Male,1292593.137
9/30/2026  12:00:00 AMale,60-64,Female,220294.966
9/30/2026  12:00:00 AMale,60-64,Male,1445003.38
9/30/2026  12:00:00 AMale,65-69,Female,217381.0864
9/30/2026  12:00:00 AMale,65-69,Male,1495194.281
9/30/2026  12:00:00 AMale,70-74,Female,157712.4824
9/30/2026  12:00:00 AMale,70-74,Male,1424233.479
9/30/2026  12:00:00 AMale,75-79,Female,95638.6818
9/30/2026  12:00:00 AMale,75-79,Male,1893253.857
9/30/2026  12:00:00 AMale,80-84,Female,49131.63842
9/30/2026  12:00:00 AMale,80-84,Male,1543434.59
9/30/2026  12:00:00 AMale,85+,Female,48690.66298
9/30/2026  12:00:00 AMale,85+,Male,1273588.555
9/30/2026  12:00:00 AMale,< 20,Female,2521.140084
9/30/2026  12:00:00 AMale,< 20,Male,6751.771197
9/30/2027  12:00:00 AMale,20-24,Female,49863.11234
9/30/2027  12:00:00 AMale,20-24,Male,206330.2707
9/30/2027  12:00:00 AMale,25-29,Female,117757.5363
9/30/2027  12:00:00 AMale,25-29,Male,508992.0692
9/30/2027  12:00:00 AMale,30-34,Female,143350.8842
