Date,Age Groups,Gender,State,Veterans
9/30/2021,30-34,Male,Delaware,2020.262892
9/30/2021,30-34,Male,District of Columbia,1137.895832
9/30/2021,30-34,Male,Florida,47435.69857
9/30/2021,30-34,Male,Georgia,28967.50686
9/30/2021,30-34,Male,Hawaii,5395.224462
9/30/2021,30-34,Male,Idaho,4814.975082
9/30/2021,30-34,Male,Illinois,21249.4337
9/30/2021,30-34,Male,Indiana,15562.30321
9/30/2021,30-34,Male,Iowa,7180.803103
9/30/2021,30-34,Male,Island Areas & Foreign,2305.813362
9/30/2021,30-34,Male,Kansas,9911.111603
9/30/2021,30-34,Male,Kentucky,10991.85596
9/30/2021,30-34,Male,Louisiana,11413.72147
9/30/2021,30-34,Male,Maine,3258.607874
9/30/2021,30-34,Male,Maryland,12929.69735
9/30/2021,30-34,Male,Massachusetts,10457.09959
9/30/2021,30-34,Male,Michigan,18543.43019
9/30/2021,30-34,Male,Minnesota,10807.11998
9/30/2021,30-34,Male,Mississippi,7282.27673
9/30/2021,30-34,Male,Missouri,15272.35024
9/30/2021,30-34,Male,Montana,3417.633409
9/30/2021,30-34,Male,Nebraska,5574.457083
9/30/2021,30-34,Male,Nevada,8964.347895
9/30/2021,30-34,Male,New Hampshire,3434.05778
9/30/2021,30-34,Male,New Jersey,10988.51332
9/30/2021,30-34,Male,New Mexico,5103.229502
9/30/2021,30-34,Male,New York,24322.74639
9/30/2021,30-34,Male,North Carolina,28964.95482
9/30/2021,30-34,Male,North Dakota,2774.604389
9/30/2021,30-34,Male,Ohio,25676.8592
9/30/2021,30-34,Male,Oklahoma,13023.7246
9/30/2021,30-34,Male,Oregon,10372.97561
9/30/2021,30-34,Male,Pennsylvania,24220.77671
9/30/2021,30-34,Male,Puerto Rico,1756.038306
9/30/2021,30-34,Male,Rhode Island,2365.386218
9/30/2021,30-34,Male,South Carolina,15009.83144
9/30/2021,30-34,Male,South Dakota,2463.8274
9/30/2021,30-34,Male,Tennessee,17715.14606
9/30/2021,30-34,Male,Texas,72996.68198
9/30/2021,30-34,Male,Utah,6540.373662
9/30/2021,30-34,Male,Vermont,1375.169023
9/30/2021,30-34,Male,Virginia,32760.43053
9/30/2021,30-34,Male,Washington,24078.18521
9/30/2021,30-34,Male,West Virginia,4469.426423
9/30/2021,30-34,Male,Wisconsin,11340.94313
9/30/2021,30-34,Male,Wyoming,1882.978752
9/30/2021,35-39,Female,Alabama,3847.178478
9/30/2021,35-39,Female,Alaska,1102.489114
9/30/2021,35-39,Female,Arizona,4656.323246
9/30/2021,35-39,Female,Arkansas,1746.310798
9/30/2021,35-39,Female,California,17658.84303
9/30/2021,35-39,Female,Colorado,4955.008415
9/30/2021,35-39,Female,Connecticut,1215.247567
9/30/2021,35-39,Female,Delaware,605.2168534
9/30/2021,35-39,Female,District of Columbia,452.3319638
9/30/2021,35-39,Female,Florida,14351.61115
9/30/2021,35-39,Female,Georgia,9764.060495
9/30/2021,35-39,Female,Hawaii,1774.900034
9/30/2021,35-39,Female,Idaho,1154.768111
9/30/2021,35-39,Female,Illinois,5446.666915
9/30/2021,35-39,Female,Indiana,3284.387692
9/30/2021,35-39,Female,Iowa,1576.70871
9/30/2021,35-39,Female,Island Areas & Foreign,613.5647431
9/30/2021,35-39,Female,Kansas,2270.791484
