State,Congressional District (CD),Gender,Age Group,Date,Veteran
California,CD 8,Female,Under 65,9/30/2021,4050.190978
California,CD 8,Male,65 and Over,9/30/2021,19092.59782
California,CD 8,Male,Under 65,9/30/2021,22657.61903
California,CD 9,Female,65 and Over,9/30/2021,824.8072771
California,CD 9,Female,Under 65,9/30/2021,2736.992921
California,CD 9,Male,65 and Over,9/30/2021,14561.97414
California,CD 9,Male,Under 65,9/30/2021,15005.83264
Colorado,CD 1,Female,65 and Over,9/30/2021,740.8216309
Colorado,CD 1,Female,Under 65,9/30/2021,3538.918465
Colorado,CD 1,Male,65 and Over,9/30/2021,15876.05816
Colorado,CD 1,Male,Under 65,9/30/2021,20221.3335
Colorado,CD 2,Female,65 and Over,9/30/2021,1216.259307
Colorado,CD 2,Female,Under 65,9/30/2021,3379.129813
Colorado,CD 2,Male,65 and Over,9/30/2021,21435.62358
Colorado,CD 2,Male,Under 65,9/30/2021,20234.16146
Colorado,CD 3,Female,65 and Over,9/30/2021,1393.871891
Colorado,CD 3,Female,Under 65,9/30/2021,3545.37083
Colorado,CD 3,Male,65 and Over,9/30/2021,25875.94198
Colorado,CD 3,Male,Under 65,9/30/2021,21541.30762
Colorado,CD 4,Female,65 and Over,9/30/2021,1435.118192
Colorado,CD 4,Female,Under 65,9/30/2021,4118.60726
Colorado,CD 4,Male,65 and Over,9/30/2021,20492.81354
Colorado,CD 4,Male,Under 65,9/30/2021,22578.44871
Colorado,CD 5,Female,65 and Over,9/30/2021,2347.560741
Colorado,CD 5,Female,Under 65,9/30/2021,14605.12292
Colorado,CD 5,Male,65 and Over,9/30/2021,28613.27691
Colorado,CD 5,Male,Under 65,9/30/2021,57684.48309
Colorado,CD 6,Female,65 and Over,9/30/2021,1524.154685
Colorado,CD 6,Female,Under 65,9/30/2021,5229.399122
Colorado,CD 6,Male,65 and Over,9/30/2021,17562.0124
Colorado,CD 6,Male,Under 65,9/30/2021,25115.73909
Colorado,CD 7,Female,65 and Over,9/30/2021,990.9390855
Colorado,CD 7,Female,Under 65,9/30/2021,3263.226822
Colorado,CD 7,Male,65 and Over,9/30/2021,21358.44056
Colorado,CD 7,Male,Under 65,9/30/2021,21699.71995
Connecticut,CD 1,Female,65 and Over,9/30/2021,275.6725448
Connecticut,CD 1,Female,Under 65,9/30/2021,2128.143802
Connecticut,CD 1,Male,65 and Over,9/30/2021,14740.90285
Connecticut,CD 1,Male,Under 65,9/30/2021,13165.62626
Connecticut,CD 2,Female,65 and Over,9/30/2021,781.1282937
Connecticut,CD 2,Female,Under 65,9/30/2021,3211.496433
Connecticut,CD 2,Male,65 and Over,9/30/2021,20718.47378
Connecticut,CD 2,Male,Under 65,9/30/2021,19840.49115
Connecticut,CD 3,Female,65 and Over,9/30/2021,432.4274258
Connecticut,CD 3,Female,Under 65,9/30/2021,2155.608928
Connecticut,CD 3,Male,65 and Over,9/30/2021,15829.20452
Connecticut,CD 3,Male,Under 65,9/30/2021,12290.91796
Connecticut,CD 4,Female,65 and Over,9/30/2021,337.9416282
Connecticut,CD 4,Female,Under 65,9/30/2021,1150.613797
Connecticut,CD 4,Male,65 and Over,9/30/2021,12467.71259
Connecticut,CD 4,Male,Under 65,9/30/2021,7922.168268
Connecticut,CD 5,Female,65 and Over,9/30/2021,387.9764386
Connecticut,CD 5,Female,Under 65,9/30/2021,1932.331927
Connecticut,CD 5,Male,65 and Over,9/30/2021,15653.38432
Connecticut,CD 5,Male,Under 65,9/30/2021,12527.50223
Delaware,CD (at Large),Female,65 and Over,9/30/2021,1333.130297
Delaware,CD (at Large),Female,Under 65,9/30/2021,6003.52648
Delaware,CD (at Large),Male,65 and Over,9/30/2021,33830.78561
Delaware,CD (at Large),Male,Under 65,9/30/2021,27682.52407
Distric of Columbia,CD (at Large),Female,65 and Over,9/30/2021,798.8302932
Distric of Columbia,CD (at Large),Female,Under 65,9/30/2021,3370.304435
Distric of Columbia,CD (at Large),Male,65 and Over,9/30/2021,9471.277264
Distric of Columbia,CD (at Large),Male,Under 65,9/30/2021,14645.56031
Florida,CD 1,Female,65 and Over,9/30/2021,3071.946783
Florida,CD 1,Female,Under 65,9/30/2021,13793.80259
Florida,CD 1,Male,65 and Over,9/30/2021,34437.7304
Florida,CD 1,Male,Under 65,9/30/2021,54257.63995
Florida,CD 10,Female,65 and Over,9/30/2021,1677.318184
Florida,CD 10,Female,Under 65,9/30/2021,3839.400873
Florida,CD 10,Male,65 and Over,9/30/2021,13465.89225
Florida,CD 10,Male,Under 65,9/30/2021,21521.64871
Florida,CD 11,Female,65 and Over,9/30/2021,2240.659031
Florida,CD 11,Female,Under 65,9/30/2021,4452.504644
Florida,CD 11,Male,65 and Over,9/30/2021,59146.96116
Florida,CD 11,Male,Under 65,9/30/2021,24083.79486
Florida,CD 12,Female,65 and Over,9/30/2021,2505.206949
Florida,CD 12,Female,Under 65,9/30/2021,4823.121626
Florida,CD 12,Male,65 and Over,9/30/2021,37898.95677
Florida,CD 12,Male,Under 65,9/30/2021,24984.45803
Florida,CD 13,Female,65 and Over,9/30/2021,2365.281312
Florida,CD 13,Female,Under 65,9/30/2021,4824.301118
Florida,CD 13,Male,65 and Over,9/30/2021,30278.15346
Florida,CD 13,Male,Under 65,9/30/2021,24064.13371
Florida,CD 14,Female,65 and Over,9/30/2021,751.2439022
Florida,CD 14,Female,Under 65,9/30/2021,4821.432901
Florida,CD 14,Male,65 and Over,9/30/2021,16220.93196
Florida,CD 14,Male,Under 65,9/30/2021,21593.83677
Florida,CD 15,Female,65 and Over,9/30/2021,1474.100126
Florida,CD 15,Female,Under 65,9/30/2021,5885.192852
Florida,CD 15,Male,65 and Over,9/30/2021,23023.52728
Florida,CD 15,Male,Under 65,9/30/2021,27044.56678
Florida,CD 16,Female,65 and Over,9/30/2021,1751.506405
Florida,CD 16,Female,Under 65,9/30/2021,4863.368181
Florida,CD 16,Male,65 and Over,9/30/2021,42497.09494
Florida,CD 16,Male,Under 65,9/30/2021,23082.10991
Florida,CD 17,Female,65 and Over,9/30/2021,1915.798017
Florida,CD 17,Female,Under 65,9/30/2021,3785.754487
Florida,CD 17,Male,65 and Over,9/30/2021,47852.62104
Florida,CD 17,Male,Under 65,9/30/2021,20717.87859
Florida,CD 18,Female,65 and Over,9/30/2021,1083.641593
Florida,CD 18,Female,Under 65,9/30/2021,3377.593799
Florida,CD 18,Male,65 and Over,9/30/2021,34784.11446
Florida,CD 18,Male,Under 65,9/30/2021,20035.19689
Florida,CD 19,Female,65 and Over,9/30/2021,1369.934705
Florida,CD 19,Female,Under 65,9/30/2021,3279.192103
Florida,CD 19,Male,65 and Over,9/30/2021,44969.6146
Florida,CD 19,Male,Under 65,9/30/2021,17908.46704
Florida,CD 2,Female,65 and Over,9/30/2021,1771.943107
Florida,CD 2,Female,Under 65,9/30/2021,6152.021603
Florida,CD 2,Male,65 and Over,9/30/2021,29738.85782
Florida,CD 2,Male,Under 65,9/30/2021,30019.65713
Florida,CD 20,Female,65 and Over,9/30/2021,375.3345611
Florida,CD 20,Female,Under 65,9/30/2021,3000.909944
Florida,CD 20,Male,65 and Over,9/30/2021,9191.245559
Florida,CD 20,Male,Under 65,9/30/2021,14965.30088
Florida,CD 21,Female,65 and Over,9/30/2021,611.793959
Florida,CD 21,Female,Under 65,9/30/2021,2283.539741
Florida,CD 21,Male,65 and Over,9/30/2021,29206.48706
Florida,CD 21,Male,Under 65,9/30/2021,12671.0439
Florida,CD 22,Female,65 and Over,9/30/2021,780.1898981
Florida,CD 22,Female,Under 65,9/30/2021,2960.983342
Florida,CD 22,Male,65 and Over,9/30/2021,22272.25215
Florida,CD 22,Male,Under 65,9/30/2021,15287.39749
Florida,CD 23,Female,65 and Over,9/30/2021,494.07689
Florida,CD 23,Female,Under 65,9/30/2021,2441.298247
Florida,CD 23,Male,65 and Over,9/30/2021,12375.36169
Florida,CD 23,Male,Under 65,9/30/2021,14294.05104
Florida,CD 24,Female,65 and Over,9/30/2021,426.288147
Florida,CD 24,Female,Under 65,9/30/2021,2173.403869
Florida,CD 24,Male,65 and Over,9/30/2021,6111.251117
Florida,CD 24,Male,Under 65,9/30/2021,11205.50226
Florida,CD 25,Female,65 and Over,9/30/2021,460.6391897
Florida,CD 25,Female,Under 65,9/30/2021,1319.799007
Florida,CD 25,Male,65 and Over,9/30/2021,11447.10983
Florida,CD 25,Male,Under 65,9/30/2021,8634.227121
Florida,CD 26,Female,65 and Over,9/30/2021,396.1206098
Florida,CD 26,Female,Under 65,9/30/2021,2656.596772
Florida,CD 26,Male,65 and Over,9/30/2021,6741.730557
Florida,CD 26,Male,Under 65,9/30/2021,16070.65047
Florida,CD 27,Female,65 and Over,9/30/2021,435.0123842
Florida,CD 27,Female,Under 65,9/30/2021,1557.373637
Florida,CD 27,Male,65 and Over,9/30/2021,7704.328686
Florida,CD 27,Male,Under 65,9/30/2021,9493.401043
Florida,CD 3,Female,65 and Over,9/30/2021,1479.564685
Florida,CD 3,Female,Under 65,9/30/2021,6754.824399
Florida,CD 3,Male,65 and Over,9/30/2021,26369.14518
Florida,CD 3,Male,Under 65,9/30/2021,31415.90398
Florida,CD 4,Female,65 and Over,9/30/2021,1896.763794
Florida,CD 4,Female,Under 65,9/30/2021,7659.807745
Florida,CD 4,Male,65 and Over,9/30/2021,27168.63168
Florida,CD 4,Male,Under 65,9/30/2021,36446.04398
Florida,CD 5,Female,65 and Over,9/30/2021,1412.186436
Florida,CD 5,Female,Under 65,9/30/2021,7858.639789
Florida,CD 5,Male,65 and Over,9/30/2021,16282.07627
Florida,CD 5,Male,Under 65,9/30/2021,32389.61805
Florida,CD 6,Female,65 and Over,9/30/2021,2156.40804
Florida,CD 6,Female,Under 65,9/30/2021,4833.904885
Florida,CD 6,Male,65 and Over,9/30/2021,39660.38522
Florida,CD 6,Male,Under 65,9/30/2021,25844.31571
Florida,CD 7,Female,65 and Over,9/30/2021,1532.618598
Florida,CD 7,Female,Under 65,9/30/2021,4565.086738
Florida,CD 7,Male,65 and Over,9/30/2021,20579.17605
Florida,CD 7,Male,Under 65,9/30/2021,21837.40224
Florida,CD 8,Female,65 and Over,9/30/2021,3637.088382
Florida,CD 8,Female,Under 65,9/30/2021,6421.284642
Florida,CD 8,Male,65 and Over,9/30/2021,42198.28756
Florida,CD 8,Male,Under 65,9/30/2021,30132.12447
Florida,CD 9,Female,65 and Over,9/30/2021,1142.610128
Florida,CD 9,Female,Under 65,9/30/2021,4749.690156
Florida,CD 9,Male,65 and Over,9/30/2021,21749.73541
Florida,CD 9,Male,Under 65,9/30/2021,24454.23193
Georgia,CD 1,Female,65 and Over,9/30/2021,1618.934497
Georgia,CD 1,Female,Under 65,9/30/2021,10951.37268
